,Product Name,Prices,Description,Rating,Review
486,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
487,"realme 12x 5G (Twilight Purple, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
488,"realme 12x 5G (Woodland Green, 128 GB)","₹12,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,"12,345 Ratings  856 Reviews"
489,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,857",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
490,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹18,854",8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
491,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,964",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
492,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,846",8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories,4.4,"66,157 Ratings  4,354 Reviews"
493,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",4.2,"1,01,515 Ratings  7,581 Reviews"
494,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories,4.2,"54,835 Ratings  4,996 Reviews"
495,"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,"1,432 Ratings  95 Reviews"
